Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Europe & Central Asia,ECS,..,..,2.71929262,2.696089709,2.669461991,2.656431147,2.682488824,2.711334049,2.764150293,2.773414747,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Europe & Central Asia (excluding high income),ECA,..,..,3.215390825,3.131161223,3.075908939,3.053931456,3.159111223,3.265834784,3.460326652,3.489271952,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,2.901018164,2.859212395,2.820034489,2.803338502,2.860979898,2.918423818,3.020478547,3.036021107,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,European Union,EUU,..,..,2.563262006,2.559734042,2.53377829,2.517607934,2.511455595,2.50985417,2.507318877,2.513341441,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Fragile and conflict affected situations,FCS,..,..,16.73300893,17.37385877,18.06605558,18.4639638,19.47884287,20.35032154,21.17011846,21.73977797,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,21.1674598,21.51819455,21.80740071,22.0004607,22.53958486,23.11616605,23.58494965,23.87431537,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,High income,HIC,..,..,2.669863945,2.664342092,2.651027998,2.623962306,2.631190472,2.63154383,2.651835313,2.655812212,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,IBRD only,IBD,..,..,6.6007311,6.392387346,6.084209157,5.987004794,6.395431198,6.903154902,7.295541088,7.258815119,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,IDA & IBRD total,IBT,..,..,9.123316386,9.03872807,8.87882638,8.864737499,9.386616469,10.07497614,10.6812124,10.89079676,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,IDA blend,IDB,..,..,12.24457082,12.28381584,12.44429471,12.70820313,14.2098701,16.13805787,18.44894454,19.79156256,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,IDA only,IDX,..,..,18.91734674,19.17534661,19.34321335,19.37428943,19.69230787,20.20987531,20.60685624,21.00354854,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,IDA total,IDA,..,..,16.61986618,16.80841233,16.98004031,17.09610366,17.82313268,18.83317213,19.87856139,20.59522809,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Late-demographic dividend,LTE,..,..,3.536696173,3.50081419,3.47217064,3.427385827,2.90845713,2.98603916,3.059453876,3.032992133,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Latin America & Caribbean,LCN,..,..,5.524300162,5.784749007,6.106898267,6.028420188,6.122478344,6.404376389,6.744041659,6.608879376,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,5.297500324,5.259134394,5.300232333,5.266166007,5.379222454,5.794014927,6.276633202,6.244219512,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,5.58088076,5.845553085,6.172935459,6.092329822,6.187405979,6.473683036,6.818561451,6.680174141,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Least developed countries: UN classification,LDC,..,..,19.83684347,20.17070153,20.35865405,20.39657845,20.77396902,21.36635795,21.75809712,22.13332161,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Low & middle income,LMY,..,..,9.503955355,9.385800048,9.194297554,9.178602654,9.569498036,10.29205163,10.92843885,11.15312518,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Low income,LIC,..,..,24.55519705,25.36237563,25.98592878,26.29477726,26.27454025,26.92915258,27.39408138,27.79069906,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lower middle income,LMC,..,..,11.88999442,11.4354814,10.86123715,10.69500924,11.562575,12.75677787,13.77596665,14.03388374,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Middle East & North Africa,MEA,..,..,8.855017393,9.391368147,9.830427718,9.919818793,10.05831461,10.16551774,10.67208059,11.19640663,..,..
